Porosity,Permeability_1,Permeability_2,Permeability_3,Error
1.282492e-01,8.184408e-14,6.738546e-13,7.568646e-14,4.802953e-05
2.350505e-01,4.870297e-13,9.689546e-13,7.622260e-13,3.278670e-04
1.509719e-01,9.708535e-13,8.411761e-13,2.448815e-13,6.094908e-04
1.833575e-01,8.847356e-13,1.008503e-13,1.623571e-13,6.104006e-04
2.266287e-01,6.066409e-13,6.063736e-13,4.554727e-13,4.273752e-04
2.738683e-01,2.025695e-13,8.471691e-13,7.672489e-13,9.578212e-05
2.301510e-01,9.845401e-13,4.223576e-13,4.221842e-13,7.501765e-04
2.986993e-01,2.718039e-14,4.027550e-13,8.033320e-13,6.412205e-05
1.514160e-01,4.259177e-13,9.699127e-13,6.729178e-13,2.243919e-04
2.428569e-01,2.989778e-14,4.141721e-13,4.783254e-13,6.314599e-05
1.056366e-01,8.598578e-13,8.292499e-14,1.274447e-13,5.277816e-04
1.412101e-01,5.552199e-13,6.527288e-13,4.464144e-13,3.106580e-04
1.670907e-01,8.257756e-14,4.962529e-13,9.868588e-13,3.635208e-05
2.172923e-01,8.742359e-13,6.283400e-13,2.109455e-13,6.527399e-04
2.079369e-01,5.549041e-13,8.112065e-14,4.810098e-13,3.626432e-04
2.442213e-01,7.369756e-13,4.450356e-13,4.192751e-13,5.587168e-04
2.592929e-01,7.128317e-13,2.452544e-13,5.325113e-13,5.485254e-04
1.646933e-01,6.416669e-13,5.978606e-13,2.421985e-13,3.920371e-04
2.871534e-01,8.116564e-13,7.911478e-13,3.576265e-13,6.617047e-04
2.609940e-01,3.201164e-13,9.112178e-13,4.244359e-13,1.973917e-04
2.025514e-01,3.618749e-13,8.373484e-13,4.688949e-13,2.037170e-04
2.874638e-01,4.862877e-13,7.266755e-13,2.278092e-13,3.608025e-04
2.001374e-01,9.960853e-13,2.651269e-13,2.009225e-13,7.118450e-04
2.295955e-01,2.510921e-13,1.517014e-13,5.934059e-13,1.251576e-04
1.244892e-01,7.536296e-13,5.597710e-13,8.385121e-13,4.556536e-04
2.209121e-01,7.801255e-13,8.561736e-13,5.537529e-13,5.742484e-04
1.666653e-01,3.466669e-13,7.857122e-13,5.354325e-13,1.746108e-04
2.683689e-01,3.823507e-13,3.209383e-13,4.023256e-13,2.552057e-04
1.102010e-01,3.491512e-13,6.521761e-13,2.418954e-13,1.797499e-04
2.888202e-01,9.026979e-13,6.511344e-14,6.152083e-13,7.460646e-04
1.990122e-01,8.730899e-13,5.625084e-13,7.693292e-13,6.126814e-04
2.639718e-01,9.887418e-13,8.081686e-13,2.715786e-13,7.975831e-04
1.659533e-01,4.129213e-13,7.136598e-13,3.371692e-13,2.232447e-04
2.757032e-01,1.891521e-13,4.279041e-13,1.232298e-13,8.457433e-05
2.456092e-01,7.062327e-13,6.582645e-13,3.537583e-13,5.354771e-04
1.132066e-01,1.512808e-13,9.173668e-13,1.165666e-13,6.607000e-05
1.709303e-01,5.210507e-13,3.906971e-13,1.319566e-13,3.044698e-04
1.343209e-01,1.525292e-13,8.761757e-13,8.081628e-13,5.070060e-05
2.846749e-01,4.280070e-13,4.528787e-13,2.159577e-13,3.068407e-04
1.712810e-01,5.551729e-13,4.367499e-13,9.896414e-13,3.299589e-04
1.136957e-01,4.801661e-13,3.486595e-14,6.881798e-13,2.644110e-04
1.121265e-01,4.762248e-13,8.218846e-13,7.239248e-13,2.625575e-04
2.207721e-01,2.638801e-13,9.813883e-13,6.283892e-14,1.355967e-04
1.900226e-01,9.069194e-13,8.192596e-13,3.614934e-13,6.379161e-04
2.654318e-01,2.879923e-13,4.741645e-13,3.707246e-13,1.693360e-04
2.674708e-01,9.106145e-13,4.322706e-13,4.063268e-13,7.300366e-04
2.564153e-01,1.852157e-13,5.850822e-13,6.086115e-13,7.631991e-05
1.397151e-01,4.316138e-13,9.334895e-13,5.948282e-13,2.256561e-04
2.687253e-01,3.431057e-13,4.369402e-13,8.631199e-13,2.200331e-04
1.332507e-01,8.980915e-13,8.752712e-13,1.131736e-13,5.505305e-04
1.688048e-01,8.466493e-13,3.883723e-13,4.808539e-13,5.450908e-04
1.410311e-01,6.144191e-13,8.124707e-13,8.354635e-13,3.516566e-04
1.402632e-01,8.759680e-13,2.216441e-13,1.865779e-13,5.333356e-04
2.150892e-01,1.130083e-13,3.172175e-13,7.305465e-13,1.089035e-05
1.551463e-01,7.062321e-13,5.110573e-13,1.056973e-13,4.374670e-04
1.591148e-01,3.053811e-13,8.768740e-13,7.989785e-13,1.444650e-04
1.342456e-01,4.408513e-13,9.245685e-13,3.732309e-13,2.330257e-04
1.732101e-01,5.650378e-13,2.410949e-13,4.779849e-13,3.383362e-04
